R B'3 L3 B'3; 90-degree Gear Rotation (2)
R B'3 U3 B; 90-degree Gear Rotation (2)
R B'3 U3 B'3; 90-degree Gear Rotation (2)
R B'3 D3 B; 90-degree Gear Rotation (2)
R B'3 D3 B'3; 90-degree Gear Rotation (2)
R3 U R3 U; 90-degree Gear Rotation (2)
R3 U R3 U'3; 90-degree Gear Rotation (2)
R3 U R3 F; 90-degree Gear Rotation (2)
R3 U R3 F'3; 90-degree Gear Rotation (2)
R3 U L3 U; 90-degree Gear Rotation (2)
R3 U L3 U'3; 90-degree Gear Rotation (2)
R3 U L3 B; 90-degree Gear Rotation (2)
R3 U L3 B'3; 90-degree Gear Rotation (2)
R3 U F3 U; 90-degree Gear Rotation (2)
R3 U F3 U'3; 90-degree Gear Rotation (2)
R3 U B3 U; 90-degree Gear Rotation (2)
R3 U B3 U'3; 90-degree Gear Rotation (2)
R3 U3 R'3 U3; 90-degree Gear Rotation (2)
R3 U3 R'3 U'; 90-degree Gear Rotation (2)
R3 U3 R'3 B3; 90-degree Gear Rotation (2)
R3 U3 R'3 B'; 90-degree Gear Rotation (2)
R3 U3 L'3 U3; 90-degree Gear Rotation (2)
R3 U3 L'3 U'; 90-degree Gear Rotation (2)
R3 U3 L'3 F3; 90-degree Gear Rotation (2)
R3 U3 L'3 F'; 90-degree Gear Rotation (2)
R3 U3 F'3 U3; 90-degree Gear Rotation (2)
R3 U3 F'3 U'; 90-degree Gear Rotation (2)
R3 U3 B'3 U3; 90-degree Gear Rotation (2)
R3 U3 B'3 U'; 90-degree Gear Rotation (2)
R3 U' R'3 U3; 90-degree Gear Rotation (2)
R3 U' R'3 U'; 90-degree Gear Rotation (2)
R3 U' R'3 B3; 90-degree Gear Rotation (2)
R3 U' R'3 B'; 90-degree Gear Rotation (2)
R3 U' L'3 U3; 90-degree Gear Rotation (2)
R3 U' L'3 U'; 90-degree Gear Rotation (2)
R3 U' L'3 F3; 90-degree Gear Rotation (2)
R3 U' L'3 F'; 90-degree Gear Rotation (2)
R3 U' F'3 U3; 90-degree Gear Rotation (2)
